C,D,S,SARCYear,STES,SNTS,SPTS,SPNTS,SMES,STEM,SNTM,SPTM,SPNTEM,SMMEM,STEF,SNTF,SPTF,SPNTEF,SMMEF,STEAI,SNTAI,SPTAI,SPNTAI,SMEAI,STEAS,SNTAS,SPTAS,SPNTAS,SMEAS,STEPI,SNTPI,SPTPI,SPNTPI,SMEPI,STEFI,SNTFI,SPTFI,SPNTFI,SMEFI,STEHI,SNTHI,SPTHI,SPNTHI,SMEHI,STEAA,SNTAA,SPTAA,SPNTAA,SMEAA,STEWH,SNTWH,SPTWH,SPNTWH,SMEWH,STEMR,SNTMR,SPTMR,SPNTMR,SMEMR,STELEP,SNTLEP,SPTLEP,SPNTLEP,SMELEP,STEFY,SNTFY,SPTFY,SPNTFY,SMEFY,STEH,SNTH,SPTH,SPNTH,SMEH,STEMIL,SNTMIL,SPTMIL,SPNTMIL,SMEMIL,STESD,SNTSD,SPTSD,SPNTSD,SMESD,STEMIG,SNTMIG,SPTMIG,SPNTMIG,SMEMIG,STEDI,SNTDI,SPTDI,SPNTDI,SMEDI
33,67033,6031843,2020-2021,80,NT,NT,NT,NT,54,NT,NT,NT,NT,26,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,0,0,0,0,0,0,0,0,0,0,33,NT,NT,NT,NT,--,NT,NT,NT,NT,38,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,--,NT,NT,NT,NT,0,0,0,0,0,0,0,0,0,0,33,NT,NT,NT,NT,0,0,0,0,0,19,NT,NT,NT,NT
49,70730,6120588,2020-2021,77,NT,NT,NT,NT,34,NT,NT,NT,NT,43,NT,NT,NT,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,NT,NT,NT,NT,24,NT,NT,NT,NT,--,NT,NT,NT,NT,34,NT,NT,NT,NT,16,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,0,0,0,0,0,42,NT,NT,NT,NT,0,0,0,0,0,12,NT,NT,NT,NT
39,68569,6041917,2020-2021,96,94,97.92,2.08,11.70,44,44,100.00,0.00,9.09,52,50,96.15,3.85,14.00,0,0,0,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,59,58,98.31,1.69,13.79,14,14,100.00,0.00,0.00,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,--,--,0,0,0,0,0,75,74,98.67,1.33,9.46,0,0,0,0,0,11,11,100.00,0.00,9.09
19,64733,6018832,2020-2021,68,NT,NT,NT,NT,30,NT,NT,NT,NT,38,NT,NT,NT,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,NT,NT,NT,NT,54,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,--,NT,NT,NT,NT,19,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,0,0,0,0,0,61,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT
30,10306,0132613,2020-2021,98,85,86.73,13.27,15.00,56,46,82.14,17.86,18.60,42,39,92.86,7.14,10.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,84,88.42,11.58,15.19,0,0,0,0,0,--,--,--,--,--,--,--,--,--,--,43,38,88.37,11.63,5.56,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,95,85,89.47,10.53,15.00,0,0,0,0,0,--,--,--,--,--
33,67124,3333770,2020-2021,431,NT,NT,NT,NT,223,NT,NT,NT,NT,208,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,365,NT,NT,NT,NT,37,NT,NT,NT,NT,11,NT,NT,NT,NT,--,NT,NT,NT,NT,55,NT,NT,NT,NT,--,NT,NT,NT,NT,198,NT,NT,NT,NT,--,NT,NT,NT,NT,295,NT,NT,NT,NT,0,0,0,0,0,60,NT,NT,NT,NT
31,66852,0109827,2020-2021,57,51,89.47,10.53,62.75,21,18,85.71,14.29,61.11,36,33,91.67,8.33,63.64,0,0,0,0,0,--,--,--,--,--,0,0,0,0,0,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,43,37,86.05,13.95,56.76,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,--,--
34,67447,3430758,2020-2021,89,68,76.40,23.60,41.18,47,33,70.21,29.79,48.48,42,35,83.33,16.67,34.29,0,0,0,0,0,--,--,--,--,--,0,0,0,0,0,--,--,--,--,--,17,14,82.35,17.65,35.71,--,--,--,--,--,54,41,75.93,24.07,46.34,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,41,29,70.73,29.27,37.93,0,0,0,0,0,--,--,--,--,--
37,77156,0137323,2020-2021,37,NT,NT,NT,NT,16,NT,NT,NT,NT,21,NT,NT,NT,NT,--,NT,NT,NT,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,NT,NT,NT,NT,0,0,0,0,0,11,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,--,NT,NT,NT,NT,27,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT
56,72520,6055248,2020-2021,42,40,95.24,4.76,27.50,21,21,100.00,0.00,23.81,21,19,90.48,9.52,31.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,15,88.24,11.76,6.67,0,0,0,0,0,24,24,100.00,0.00,41.67,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,16,88.89,11.11,0.00,0,0,0,0,0,--,--,--,--,--
30,66480,6027791,2020-2021,79,NT,NT,NT,NT,44,NT,NT,NT,NT,35,NT,NT,NT,NT,0,0,0,0,0,24,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,32,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,0,0,0,0,0,18,NT,NT,NT,NT,--,NT,NT,NT,NT,44,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT
36,67876,0110783,2020-2021,69,NT,NT,NT,NT,41,NT,NT,NT,NT,28,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,0,0,0,0,0,0,0,0,0,0,56,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,36,NT,NT,NT,NT,0,0,0,0,0,12,NT,NT,NT,NT,0,0,0,0,0,67,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT
30,10306,0126037,2020-2021,34,28,82.35,17.65,25.93,20,19,95.00,5.00,27.78,14,9,64.29,35.71,--,0,0,0,0,0,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,25,21,84.00,16.00,15.00,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,16,13,81.25,18.75,25.00,0,0,0,0,0,--,--,--,--,--
01,61192,6113815,2020-2021,23,NT,NT,NT,NT,12,NT,NT,NT,NT,11,NT,NT,NT,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT
07,61754,0730655,2020-2021,--,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT
57,72678,6118905,2020-2021,53,NT,NT,NT,NT,26,NT,NT,NT,NT,27,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,0,0,0,0,0,0,0,0,0,0,35,NT,NT,NT,NT,0,0,0,0,0,13,NT,NT,NT,NT,--,NT,NT,NT,NT,22,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,0,0,0,0,0,35,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT
50,71266,6106934,2020-2021,52,50,96.15,3.85,28.00,29,28,96.55,3.45,32.14,23,22,95.65,4.35,22.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,34,94.44,5.56,20.59,0,0,0,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,33,97.06,2.94,21.21,0,0,0,0,0,0,0,0,0,0
37,68437,6040562,2020-2021,35,NT,NT,NT,NT,18,NT,NT,NT,NT,17,NT,NT,NT,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,0,0,0,0,0,15,NT,NT,NT,NT,0,0,0,0,0,0,0,0,0,0,--,NT,NT,NT,NT,35,NT,NT,NT,NT,13,NT,NT,NT,NT,--,NT,NT,NT,NT
