C,D,S,SARCYear,ETES,ENTS,EPTS,EPNTS,EMES,ETEM,ENTM,EPTM,EPNTEM,EMMEM,ETEF,ENTF,EPTF,EPNTEF,EMMEF,ETEAI,ENTAI,EPTAI,EPNTAI,EMEAI,ETEAS,ENTAS,EPTAS,EPNTAS,EMEAS,ETEPI,ENTPI,EPTPI,EPNTPI,EMEPI,ETEFI,ENTFI,EPTFI,EPNTFI,EMEFI,ETEHI,ENTHI,EPTHI,EPNTHI,EMEHI,ETEAA,ENTAA,EPTAA,EPNTAA,EMEAA,ETEWH,ENTWH,EPTWH,EPNTWH,EMEWH,ETEMR,ENTMR,EPTMR,EPNTMR,EMEMR,ETELEP,ENTLEP,EPTLEP,EPNTLEP,EMELEP,ETEFY,ENTFY,EPTFY,EPNTFY,EMEFY,ETEH,ENTH,EPTH,EPNTH,EMEH,ETEMIL,ENTMIL,EPTMIL,EPNTMIL,EMEMIL,ETESD,ENTSD,EPTSD,EPNTSD,EMESD,ETEMIG,ENTMIG,EPTMIG,EPNTMIG,EMEMIG,ETEDI,ENTDI,EPTDI,EPNTDI,EMEDI
43,73387,6067219,2020-2021,360,NT,NT,NT,NT,174,NT,NT,NT,NT,186,NT,NT,NT,NT,--,NT,NT,NT,NT,198,NT,NT,NT,NT,--,NT,NT,NT,NT,35,NT,NT,NT,NT,63,NT,NT,NT,NT,12,NT,NT,NT,NT,12,NT,NT,NT,NT,35,NT,NT,NT,NT,77,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,--,NT,NT,NT,NT,92,NT,NT,NT,NT,0,0,0,0,0,27,NT,NT,NT,NT
38,68478,6040760,2020-2021,115,NT,NT,NT,NT,59,NT,NT,NT,NT,56,NT,NT,NT,NT,0,0,0,0,0,0,0,0,0,0,--,NT,NT,NT,NT,--,NT,NT,NT,NT,65,NT,NT,NT,NT,33,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,63,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,0,0,0,0,0,55,NT,NT,NT,NT,--,NT,NT,NT,NT,22,NT,NT,NT,NT
07,61648,0117218,2020-2021,172,154,89.53,10.47,73.68,64,54,84.38,15.62,71.15,108,100,92.59,7.41,75.00,0,0,0,0,0,--,--,--,--,--,--,--,--,--,--,16,16,100.00,0.00,93.75,81,74,91.36,8.64,65.75,28,25,89.29,10.71,62.50,29,22,75.86,24.14,81.82,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,--,--,14,12,85.71,14.29,58.33,86,73,84.88,15.12,67.61,0,0,0,0,0,--,--,--,--,--
54,76794,5436282,2020-2021,164,119,72.56,27.44,47.41,81,56,69.14,30.86,34.55,83,63,75.90,24.10,59.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,113,73.86,26.14,46.36,0,0,0,0,0,11,6,54.55,45.45,--,0,0,0,0,0,22,17,77.27,22.73,11.76,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,140,105,75.00,25.00,47.06,--,--,--,--,--,12,8,66.67,33.33,--
41,68916,6043780,2020-2021,511,394,77.10,22.90,53.81,269,204,75.84,24.16,51.47,242,190,78.51,21.49,56.32,--,--,--,--,--,168,138,82.14,17.86,71.74,--,--,--,--,--,173,122,70.52,29.48,53.28,100,74,74.00,26.00,29.73,--,--,--,--,--,31,28,90.32,9.68,32.14,33,27,81.82,18.18,55.56,128,97,75.78,24.22,17.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,58,73.42,26.58,46.55,0,0,0,0,0,32,24,75.00,25.00,4.17
34,67314,6107718,2020-2021,446,384,86.10,13.90,29.17,242,205,84.71,15.29,23.90,204,179,87.75,12.25,35.20,--,--,--,--,--,136,120,88.24,11.76,35.00,29,27,93.10,6.90,18.52,--,--,--,--,--,150,129,86.00,14.00,26.36,69,57,82.61,17.39,19.30,13,11,84.62,15.38,27.27,37,29,78.38,21.62,34.48,127,112,88.19,11.81,8.93,--,--,--,--,--,16,14,87.50,12.50,14.29,0,0,0,0,0,412,355,86.17,13.83,27.32,0,0,0,0,0,72,45,62.50,37.50,4.44
19,64436,6012645,2020-2021,195,NT,NT,NT,NT,85,NT,NT,NT,NT,110,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,159,NT,NT,NT,NT,--,NT,NT,NT,NT,11,NT,NT,NT,NT,--,NT,NT,NT,NT,31,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,14,NT,NT,NT,NT,156,NT,NT,NT,NT,0,0,0,0,0,40,NT,NT,NT,NT
50,71167,6052666,2020-2021,214,195,91.12,8.88,47.69,105,99,94.29,5.71,40.40,109,96,88.07,11.93,55.21,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,90,92.78,7.22,42.22,--,--,--,--,--,84,76,90.48,9.52,60.53,22,19,86.36,13.64,36.84,15,13,86.67,13.33,7.69,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,58,53,91.38,8.62,24.53,0,0,0,0,0,28,28,100.00,0.00,21.43
19,64394,6012157,2020-2021,369,NT,NT,NT,NT,196,NT,NT,NT,NT,173,NT,NT,NT,NT,0,0,0,0,0,46,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,130,NT,NT,NT,NT,--,NT,NT,NT,NT,131,NT,NT,NT,NT,44,NT,NT,NT,NT,14,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,70,NT,NT,NT,NT,0,0,0,0,0,55,NT,NT,NT,NT
20,75580,0110395,2020-2021,--,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,NT,NT,NT,NT,--,NT,NT,NT,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,NT,NT,NT,NT,0,0,0,0,0,0,0,0,0,0,--,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT
49,70912,0128074,2020-2021,226,NT,NT,NT,NT,117,NT,NT,NT,NT,109,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,0,0,0,0,0,0,0,0,0,0,196,NT,NT,NT,NT,0,0,0,0,0,23,NT,NT,NT,NT,--,NT,NT,NT,NT,90,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,0,0,0,0,0,148,NT,NT,NT,NT,--,NT,NT,NT,NT,36,NT,NT,NT,NT
24,65771,6025621,2020-2021,98,NT,NT,NT,NT,47,NT,NT,NT,NT,51,NT,NT,NT,NT,0,0,0,0,0,26,NT,NT,NT,NT,0,0,0,0,0,0,0,0,0,0,57,NT,NT,NT,NT,0,0,0,0,0,11,NT,NT,NT,NT,--,NT,NT,NT,NT,26,NT,NT,NT,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT
19,64733,0107003,2020-2021,219,156,71.23,28.77,55.33,110,75,68.18,31.82,53.52,109,81,74.31,25.69,56.96,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,17,11,64.71,35.29,63.64,158,115,72.78,27.22,53.21,--,--,--,--,--,26,18,69.23,30.77,66.67,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,176,122,69.32,30.68,53.85,0,0,0,0,0,42,20,47.62,52.38,16.67
45,69989,4530226,2020-2021,--,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,NT,NT,NT,NT,0,0,0,0,0,0,0,0,0,0
33,75200,3330529,2020-2021,538,NT,NT,NT,NT,282,NT,NT,NT,NT,256,NT,NT,NT,NT,--,NT,NT,NT,NT,14,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,173,NT,NT,NT,NT,22,NT,NT,NT,NT,279,NT,NT,NT,NT,38,NT,NT,NT,NT,11,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,19,NT,NT,NT,NT,166,NT,NT,NT,NT,0,0,0,0,0,63,NT,NT,NT,NT
52,71522,6053474,2020-2021,53,53,100.00,0.00,52.83,31,31,100.00,0.00,45.16,22,22,100.00,0.00,63.64,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,100.00,0.00,63.64,0,0,0,0,0,38,38,100.00,0.00,50.00,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,--,--,0,0,0,0,0,23,23,100.00,0.00,52.17,0,0,0,0,0,--,--,--,--,--
19,64279,6011290,2020-2021,221,NT,NT,NT,NT,113,NT,NT,NT,NT,108,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,205,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,40,NT,NT,NT,NT,--,NT,NT,NT,NT,28,NT,NT,NT,NT,27,NT,NT,NT,NT,196,NT,NT,NT,NT,0,0,0,0,0,13,NT,NT,NT,NT
50,71076,6052518,2020-2021,243,NT,NT,NT,NT,118,NT,NT,NT,NT,125,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,0,0,0,0,0,0,0,0,0,0,194,NT,NT,NT,NT,--,NT,NT,NT,NT,41,NT,NT,NT,NT,--,NT,NT,NT,NT,102,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,0,0,0,0,0,201,NT,NT,NT,NT,--,NT,NT,NT,NT,28,NT,NT,NT,NT
33,67090,0136721,2020-2021,739,NT,NT,NT,NT,365,NT,NT,NT,NT,374,NT,NT,NT,NT,0,0,0,0,0,55,NT,NT,NT,NT,--,NT,NT,NT,NT,23,NT,NT,NT,NT,492,NT,NT,NT,NT,50,NT,NT,NT,NT,84,NT,NT,NT,NT,34,NT,NT,NT,NT,133,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,468,NT,NT,NT,NT,0,0,0,0,0,81,NT,NT,NT,NT
30,73650,6094718,2020-2021,329,NT,NT,NT,NT,164,NT,NT,NT,NT,165,NT,NT,NT,NT,0,0,0,0,0,82,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,29,NT,NT,NT,NT,--,NT,NT,NT,NT,177,NT,NT,NT,NT,36,NT,NT,NT,NT,25,NT,NT,NT,NT,0,0,0,0,0,0,0,0,0,0,--,NT,NT,NT,NT,24,NT,NT,NT,NT,0,0,0,0,0,24,NT,NT,NT,NT
14,76687,1431600,2020-2021,155,106,68.39,31.61,55.66,81,56,69.14,30.86,58.93,74,50,67.57,32.43,52.00,24,13,54.17,45.83,38.46,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,57,44,77.19,22.81,45.45,--,--,--,--,--,60,40,66.67,33.33,72.50,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,--,--,--,--,--,--,--,81,55,67.90,32.10,43.64,0,0,0,0,0,17,12,70.59,29.41,0.00
19,64733,6018055,2020-2021,168,NT,NT,NT,NT,86,NT,NT,NT,NT,82,NT,NT,NT,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,0,0,0,0,0,35,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,0,0,0,0,0,158,NT,NT,NT,NT,--,NT,NT,NT,NT,28,NT,NT,NT,NT
41,68882,6043566,2020-2021,217,214,98.62,1.38,80.37,101,99,98.02,1.98,75.76,116,115,99.14,0.86,84.35,0,0,0,0,0,60,60,100.00,0.00,90.00,0,0,0,0,0,--,--,--,--,--,22,20,90.91,9.09,60.00,0,0,0,0,0,87,86,98.85,1.15,73.26,43,43,100.00,0.00,88.37,20,20,100.00,0.00,35.00,0,0,0,0,0,--,--,--,--,--,0,0,0,0,0,19,17,89.47,10.53,29.41,0,0,0,0,0,15,14,93.33,6.67,28.57
42,69328,4230074,2020-2021,--,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,0,0,0,0,0,0,0,0,0,0,--,NT,NT,NT,NT,0,0,0,0,0,0,0,0,0,0,--,NT,NT,NT,NT,0,0,0,0,0,0,0,0,0,0
56,73759,5630108,2020-2021,49,21,42.86,57.14,25.00,32,14,43.75,56.25,15.38,17,7,41.18,58.82,--,0,0,0,0,0,0,0,0,0,0,--,--,--,--,--,--,--,--,--,--,32,13,40.63,59.37,25.00,0,0,0,0,0,13,6,46.15,53.85,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,--,--,--,--,--,0,0,0,0,0,28,12,42.86,57.14,18.18,0,0,0,0,0,--,--,--,--,--
34,67314,6098750,2020-2021,504,476,94.44,5.56,20.47,258,244,94.57,5.43,18.41,246,232,94.31,5.69,22.61,--,--,--,--,--,81,80,98.77,1.23,31.65,13,13,100.00,0.00,15.38,15,15,100.00,0.00,66.67,241,228,94.61,5.39,15.70,78,69,88.46,11.54,14.71,27,24,88.89,11.11,8.33,46,44,95.65,4.35,25.00,172,163,94.77,5.23,8.81,--,--,--,--,--,18,14,77.78,22.22,0.00,--,--,--,--,--,381,359,94.23,5.77,18.98,0,0,0,0,0,87,77,88.51,11.49,4.05
15,63792,6010102,2020-2021,372,NT,NT,NT,NT,202,NT,NT,NT,NT,170,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,0,0,0,0,0,135,NT,NT,NT,NT,--,NT,NT,NT,NT,213,NT,NT,NT,NT,--,NT,NT,NT,NT,19,NT,NT,NT,NT,--,NT,NT,NT,NT,16,NT,NT,NT,NT,0,0,0,0,0,330,NT,NT,NT,NT,0,0,0,0,0,62,NT,NT,NT,NT
19,64550,6013536,2020-2021,226,NT,NT,NT,NT,100,NT,NT,NT,NT,126,NT,NT,NT,NT,0,0,0,0,0,124,NT,NT,NT,NT,0,0,0,0,0,0,0,0,0,0,93,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,82,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,0,0,0,0,0,201,NT,NT,NT,NT,0,0,0,0,0,27,NT,NT,NT,NT
54,75523,0137968,2020-2021,125,22,17.60,82.40,63.64,74,17,22.97,77.03,58.82,51,5,9.80,90.20,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,91,17,18.68,81.32,58.82,0,0,0,0,0,26,4,15.38,84.62,--,--,--,--,--,--,15,0,0.00,100.00,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,112,20,17.86,82.14,60.00,--,--,--,--,--,--,--,--,--,--
33,67173,6032403,2020-2021,336,244,72.62,27.38,24.07,185,131,70.81,29.19,24.22,151,113,74.83,25.17,23.89,0,0,0,0,0,--,--,--,--,--,0,0,0,0,0,--,--,--,--,--,308,232,75.32,24.68,23.04,--,--,--,--,--,12,4,33.33,66.67,--,--,--,--,--,--,155,110,70.97,29.03,8.26,--,--,--,--,--,38,22,57.89,42.11,0.00,0,0,0,0,0,332,242,72.89,27.11,23.85,0,0,0,0,0,48,19,39.58,60.42,10.53
30,66647,0102897,2020-2021,237,NT,NT,NT,NT,112,NT,NT,NT,NT,125,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,0,0,0,0,0,0,0,0,0,0,232,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,0,0,0,0,0,127,NT,NT,NT,NT,--,NT,NT,NT,NT,252,NT,NT,NT,NT,--,NT,NT,NT,NT,227,NT,NT,NT,NT,--,NT,NT,NT,NT,35,NT,NT,NT,NT
15,63578,6090591,2020-2021,382,376,98.43,1.57,24.20,179,178,99.44,0.56,16.29,203,198,97.54,2.46,31.31,0,0,0,0,0,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,369,363,98.37,1.63,24.52,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,139,138,99.28,0.72,4.35,--,--,--,--,--,40,36,90.00,10.00,5.56,0,0,0,0,0,321,315,98.13,1.87,21.90,24,24,100.00,0.00,37.50,51,51,100.00,0.00,5.88
34,76505,6033633,2020-2021,226,NT,NT,NT,NT,102,NT,NT,NT,NT,124,NT,NT,NT,NT,--,NT,NT,NT,NT,19,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,73,NT,NT,NT,NT,--,NT,NT,NT,NT,107,NT,NT,NT,NT,15,NT,NT,NT,NT,20,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,0,0,0,0,0,180,NT,NT,NT,NT,0,0,0,0,0,37,NT,NT,NT,NT
19,64733,6018683,2020-2021,407,NT,NT,NT,NT,218,NT,NT,NT,NT,189,NT,NT,NT,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,391,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,113,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,0,0,0,0,0,395,NT,NT,NT,NT,--,NT,NT,NT,NT,53,NT,NT,NT,NT
39,68577,6041990,2020-2021,336,NT,NT,NT,NT,160,NT,NT,NT,NT,176,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,197,NT,NT,NT,NT,0,0,0,0,0,124,NT,NT,NT,NT,--,NT,NT,NT,NT,85,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,0,0,0,0,0,175,NT,NT,NT,NT,--,NT,NT,NT,NT,38,NT,NT,NT,NT
19,64733,6017149,2020-2021,307,NT,NT,NT,NT,154,NT,NT,NT,NT,153,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,0,0,0,0,0,0,0,0,0,0,271,NT,NT,NT,NT,17,NT,NT,NT,NT,--,NT,NT,NT,NT,14,NT,NT,NT,NT,135,NT,NT,NT,NT,--,NT,NT,NT,NT,20,NT,NT,NT,NT,--,NT,NT,NT,NT,302,NT,NT,NT,NT,--,NT,NT,NT,NT,33,NT,NT,NT,NT
58,72736,6056725,2020-2021,50,41,82.00,18.00,19.51,25,22,88.00,12.00,13.64,25,19,76.00,24.00,26.32,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,--,--,--,--,--,0,0,0,0,0,32,28,87.50,12.50,21.43,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,--,--,27,22,81.48,18.52,13.64,0,0,0,0,0,--,--,--,--,--
07,61630,0730283,2020-2021,314,255,81.21,18.79,83.46,188,151,80.32,19.68,78.15,126,104,82.54,17.46,91.26,0,0,0,0,0,30,30,100.00,0.00,96.67,0,0,0,0,0,--,--,--,--,--,28,23,82.14,17.86,73.91,--,--,--,--,--,230,181,78.70,21.30,81.67,19,15,78.95,21.05,100.00,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,--,--,--,--,--,23,16,69.57,30.43,100.00,0,0,0,0,0,32,17,53.13,46.87,47.06
30,66449,6027452,2020-2021,201,NT,NT,NT,NT,104,NT,NT,NT,NT,97,NT,NT,NT,NT,0,0,0,0,0,21,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,118,NT,NT,NT,NT,--,NT,NT,NT,NT,41,NT,NT,NT,NT,--,NT,NT,NT,NT,41,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,--,NT,NT,NT,NT,79,NT,NT,NT,NT,0,0,0,0,0,38,NT,NT,NT,NT
37,68304,6110720,2020-2021,248,NT,NT,NT,NT,136,NT,NT,NT,NT,112,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,77,NT,NT,NT,NT,--,NT,NT,NT,NT,148,NT,NT,NT,NT,15,NT,NT,NT,NT,28,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,24,NT,NT,NT,NT,72,NT,NT,NT,NT,0,0,0,0,0,45,NT,NT,NT,NT
19,64733,0111518,2020-2021,430,NT,NT,NT,NT,222,NT,NT,NT,NT,208,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,--,NT,NT,NT,NT,0,0,0,0,0,372,NT,NT,NT,NT,56,NT,NT,NT,NT,0,0,0,0,0,0,0,0,0,0,114,NT,NT,NT,NT,--,NT,NT,NT,NT,24,NT,NT,NT,NT,--,NT,NT,NT,NT,422,NT,NT,NT,NT,0,0,0,0,0,57,NT,NT,NT,NT
15,63628,0138131,2020-2021,2618,2301,87.89,12.11,43.02,1336,1147,85.85,14.15,38.88,1282,1154,90.02,9.98,47.14,13,11,84.62,15.38,54.55,20,18,90.00,10.00,61.11,--,--,--,--,--,--,--,--,--,--,632,550,87.03,12.97,37.09,55,47,85.45,14.55,31.91,1620,1434,88.52,11.48,44.27,269,233,86.62,13.38,48.07,13,13,100.00,0.00,0.00,--,--,--,--,--,14,14,100.00,0.00,42.86,21,19,90.48,9.52,57.89,946,857,90.59,9.41,35.75,0,0,0,0,0,304,249,81.91,18.09,20.24
45,75267,6050579,2020-2021,115,105,91.30,8.70,36.19,65,60,92.31,7.69,31.67,50,45,90.00,10.00,42.22,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,19,17,89.47,10.53,29.41,--,--,--,--,--,76,69,90.79,9.21,44.93,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,92,85,92.39,7.61,34.12,0,0,0,0,0,13,12,92.31,7.69,8.33
19,64733,6018428,2020-2021,134,NT,NT,NT,NT,71,NT,NT,NT,NT,63,NT,NT,NT,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,NT,NT,NT,NT,84,NT,NT,NT,NT,40,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,37,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,0,0,0,0,0,131,NT,NT,NT,NT,0,0,0,0,0,17,NT,NT,NT,NT
37,68304,3735974,2020-2021,331,252,76.13,23.87,68.92,186,143,76.88,23.12,62.68,145,109,75.17,24.83,77.06,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,125,92,73.60,26.40,51.65,0,0,0,0,0,184,140,76.09,23.91,78.57,17,15,88.24,11.76,80.00,16,10,62.50,37.50,--,--,--,--,--,--,--,--,--,--,--,13,8,61.54,38.46,--,101,71,70.30,29.70,52.11,--,--,--,--,--,42,28,66.67,33.33,14.81
19,64261,6057467,2020-2021,746,NT,NT,NT,NT,375,NT,NT,NT,NT,371,NT,NT,NT,NT,--,NT,NT,NT,NT,515,NT,NT,NT,NT,--,NT,NT,NT,NT,20,NT,NT,NT,NT,109,NT,NT,NT,NT,15,NT,NT,NT,NT,73,NT,NT,NT,NT,12,NT,NT,NT,NT,53,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,0,0,0,0,0,143,NT,NT,NT,NT,0,0,0,0,0,47,NT,NT,NT,NT
30,73635,6030530,2020-2021,35,NT,NT,NT,NT,14,NT,NT,NT,NT,21,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,0,0,0,0,0,0,0,0,0,0,11,NT,NT,NT,NT,0,0,0,0,0,18,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT
30,73650,6100317,2020-2021,239,NT,NT,NT,NT,127,NT,NT,NT,NT,112,NT,NT,NT,NT,0,0,0,0,0,79,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,34,NT,NT,NT,NT,--,NT,NT,NT,NT,85,NT,NT,NT,NT,34,NT,NT,NT,NT,27,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,37,NT,NT,NT,NT,0,0,0,0,0,30,NT,NT,NT,NT
34,67314,6033104,2020-2021,546,473,86.63,13.37,17.13,272,237,87.13,12.87,15.52,274,236,86.13,13.87,18.72,--,--,--,--,--,150,129,86.00,14.00,21.09,30,23,76.67,23.33,13.04,--,--,--,--,--,236,217,91.95,8.05,13.89,73,58,79.45,20.55,14.29,19,14,73.68,26.32,16.67,27,23,85.19,14.81,30.43,258,226,87.60,12.40,5.31,--,--,--,--,--,14,8,57.14,42.86,--,0,0,0,0,0,492,429,87.20,12.80,17.26,--,--,--,--,--,65,52,80.00,20.00,1.92
19,64733,6017016,2020-2021,584,NT,NT,NT,NT,306,NT,NT,NT,NT,278,NT,NT,NT,NT,0,0,0,0,0,0,0,0,0,0,--,NT,NT,NT,NT,--,NT,NT,NT,NT,544,NT,NT,NT,NT,25,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,97,NT,NT,NT,NT,--,NT,NT,NT,NT,14,NT,NT,NT,NT,0,0,0,0,0,464,NT,NT,NT,NT,0,0,0,0,0,87,NT,NT,NT,NT
37,68296,6109326,2020-2021,285,NT,NT,NT,NT,152,NT,NT,NT,NT,133,NT,NT,NT,NT,--,NT,NT,NT,NT,53,NT,NT,NT,NT,--,NT,NT,NT,NT,19,NT,NT,NT,NT,48,NT,NT,NT,NT,--,NT,NT,NT,NT,125,NT,NT,NT,NT,27,NT,NT,NT,NT,23,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,11,NT,NT,NT,NT,46,NT,NT,NT,NT,0,0,0,0,0,43,NT,NT,NT,NT
30,66670,6030217,2020-2021,355,NT,NT,NT,NT,201,NT,NT,NT,NT,154,NT,NT,NT,NT,0,0,0,0,0,13,NT,NT,NT,NT,0,0,0,0,0,0,0,0,0,0,339,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,0,0,0,0,0,212,NT,NT,NT,NT,--,NT,NT,NT,NT,22,NT,NT,NT,NT,0,0,0,0,0,328,NT,NT,NT,NT,--,NT,NT,NT,NT,77,NT,NT,NT,NT
21,10215,2130037,2020-2021,31,9,29.03,70.97,--,23,8,34.78,65.22,--,--,--,--,--,--,0,0,0,0,0,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,18,5,27.78,72.22,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,4,18.18,81.82,--,0,0,0,0,0,--,--,--,--,--
55,72413,5530092,2020-2021,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
