C,D,S,SARCYear,ETES,ENTS,EPTS,EPNTS,EMES,ETEM,ENTM,EPTM,EPNTEM,EMMEM,ETEF,ENTF,EPTF,EPNTEF,EMMEF,ETEAI,ENTAI,EPTAI,EPNTAI,EMEAI,ETEAS,ENTAS,EPTAS,EPNTAS,EMEAS,ETEPI,ENTPI,EPTPI,EPNTPI,EMEPI,ETEFI,ENTFI,EPTFI,EPNTFI,EMEFI,ETEHI,ENTHI,EPTHI,EPNTHI,EMEHI,ETEAA,ENTAA,EPTAA,EPNTAA,EMEAA,ETEWH,ENTWH,EPTWH,EPNTWH,EMEWH,ETEMR,ENTMR,EPTMR,EPNTMR,EMEMR,ETELEP,ENTLEP,EPTLEP,EPNTLEP,EMELEP,ETEFY,ENTFY,EPTFY,EPNTFY,EMEFY,ETEH,ENTH,EPTH,EPNTH,EMEH,ETEMIL,ENTMIL,EPTMIL,EPNTMIL,EMEMIL,ETESD,ENTSD,EPTSD,EPNTSD,EMESD,ETEMIG,ENTMIG,EPTMIG,EPNTMIG,EMEMIG,ETEDI,ENTDI,EPTDI,EPNTDI,EMEDI
36,67686,6059380,2020-2021,743,605,81.43,18.57,33.62,394,322,81.73,18.27,28.43,349,283,81.09,18.91,39.55,0,0,0,0,0,12,12,100.00,0.00,45.45,--,--,--,--,--,--,--,--,--,--,682,552,80.94,19.06,33.91,19,15,78.95,21.05,33.33,24,21,87.50,12.50,23.81,--,--,--,--,--,157,125,79.62,20.38,3.45,--,--,--,--,--,24,20,83.33,16.67,11.11,0,0,0,0,0,706,576,81.59,18.41,33.15,0,0,0,0,0,107,85,79.44,20.56,1.28
20,75580,2030161,2020-2021,25,17,68.00,32.00,35.29,18,14,77.78,22.22,35.71,--,--,--,--,--,0,0,0,0,0,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,12,8,66.67,33.33,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,11,73.33,26.67,36.36,0,0,0,0,0,--,--,--,--,--
36,73890,3631199,2020-2021,83,67,80.72,19.28,37.31,41,34,82.93,17.07,32.35,42,33,78.57,21.43,42.42,0,0,0,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,33,25,75.76,24.24,32.00,--,--,--,--,--,30,25,83.33,16.67,40.00,11,9,81.82,18.18,--,--,--,--,--,--,0,0,0,0,0,14,8,57.14,42.86,--,--,--,--,--,--,58,45,77.59,22.41,22.22,0,0,0,0,0,12,11,91.67,8.33,18.18
19,64469,1932482,2020-2021,173,110,63.58,36.42,42.42,92,55,59.78,40.22,50.00,80,54,67.50,32.50,35.42,0,0,0,0,0,--,--,--,--,--,0,0,0,0,0,--,--,--,--,--,142,86,60.56,39.44,40.79,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,35,20,57.14,42.86,11.76,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,123,82,66.67,33.33,39.73,0,0,0,0,0,44,20,45.45,54.55,0.00
04,61424,6002968,2020-2021,137,NT,NT,NT,NT,73,NT,NT,NT,NT,64,NT,NT,NT,NT,--,NT,NT,NT,NT,14,NT,NT,NT,NT,0,0,0,0,0,0,0,0,0,0,56,NT,NT,NT,NT,--,NT,NT,NT,NT,48,NT,NT,NT,NT,12,NT,NT,NT,NT,18,NT,NT,NT,NT,0,0,0,0,0,20,NT,NT,NT,NT,--,NT,NT,NT,NT,123,NT,NT,NT,NT,0,0,0,0,0,36,NT,NT,NT,NT
10,10108,6069488,2020-2021,274,171,62.41,37.59,7.60,185,119,64.32,35.68,6.72,89,52,58.43,41.57,9.62,--,--,--,--,--,21,12,57.14,42.86,0.00,0,0,0,0,0,--,--,--,--,--,205,132,64.39,35.61,7.58,12,4,33.33,66.67,--,27,16,59.26,40.74,6.25,--,--,--,--,--,37,18,48.65,51.35,0.00,12,6,50.00,50.00,--,--,--,--,--,--,0,0,0,0,0,145,88,60.69,39.31,4.55,--,--,--,--,--,274,171,62.41,37.59,7.60
19,64667,6014765,2020-2021,388,NT,NT,NT,NT,211,NT,NT,NT,NT,177,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,194,NT,NT,NT,NT,130,NT,NT,NT,NT,37,NT,NT,NT,NT,12,NT,NT,NT,NT,40,NT,NT,NT,NT,--,NT,NT,NT,NT,38,NT,NT,NT,NT,30,NT,NT,NT,NT,371,NT,NT,NT,NT,0,0,0,0,0,100,NT,NT,NT,NT
37,68338,6039374,2020-2021,211,NT,NT,NT,NT,107,NT,NT,NT,NT,104,NT,NT,NT,NT,0,0,0,0,0,60,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,54,NT,NT,NT,NT,15,NT,NT,NT,NT,54,NT,NT,NT,NT,17,NT,NT,NT,NT,34,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,86,NT,NT,NT,NT,113,NT,NT,NT,NT,0,0,0,0,0,25,NT,NT,NT,NT
19,64212,6093454,2020-2021,433,32,7.39,92.61,93.75,232,14,6.03,93.97,100.00,201,18,8.96,91.04,88.89,--,--,--,--,--,69,12,17.39,82.61,100.00,--,--,--,--,--,70,10,14.29,85.71,--,174,5,2.87,97.13,--,51,3,5.88,94.12,--,33,2,6.06,93.94,--,32,0,0.00,100.00,--,21,0,0.00,100.00,--,0,0,0,0,0,0,0,0,0,0,--,--,--,--,--,55,2,3.64,96.36,--,--,--,--,--,--,59,3,5.08,94.92,--
19,64691,6014831,2020-2021,318,NT,NT,NT,NT,153,NT,NT,NT,NT,165,NT,NT,NT,NT,0,0,0,0,0,11,NT,NT,NT,NT,--,NT,NT,NT,NT,0,0,0,0,0,243,NT,NT,NT,NT,29,NT,NT,NT,NT,--,NT,NT,NT,NT,25,NT,NT,NT,NT,99,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,0,0,0,0,0,291,NT,NT,NT,NT,0,0,0,0,0,62,NT,NT,NT,NT
