,School,CDSCode,NCESCode,Magnet,Zip,Latitude,Longitude
1406,Independent Learning Center,07617880730564,063060008459,No Data,94565-2558,38.0297978,-121.885866
1409,Pittsburg Senior High,07617880735407,063060004752,N,94565-4615,38.019548,-121.88137
1427,Leadership Public Schools: Richmond,07617960101477,063255011225,N,94801-2411,37.934059,-122.36110
1429,West County Community High,07617960115352,063255012067,No Data,94805-1534,37.945488,-122.32069
1431,WCCUSD Community Day School Program,07617960118539,063255012353,No Data,94801-3533,37.932480,-122.36265
1434,Aspire Richmond Ca. College Preparatory Academy,07617960132100,063255013890,N,94806-1920,37.978230,-122.32702
1440,North Campus Continuation,07617960730275,063255009621,N,94806-1668,37.993898,-122.32079
1441,Middle College High,07617960730291,063255009622,N,94806-3195,37.968886,-122.34215
1443,Vista Independent Study / Virtual Academy,07617960730325,063255010198,N,94806-2703,37.968325,-122.32609
1444,Delta Continuation High,07617960730366,063255000225,No Data,94803-2599,37.97085086394943,-122.28765479657153
1445,Kappa Continuation High,07617960730374,063255000234,No Data,94804-3399,37.925364,-122.32931
1446,Omega Continuation High,07617960730382,063255000235,No Data,94804-1091,37.951989,-122.34739
1447,Sigma Continuation High,07617960730390,063255000240,No Data,94564-1499,37.99149385,-122.28657701844756
1450,Alternative Education Learning Center Charter,07617960730580,063255008690,No Data,94530,37.92646581085049,-122.30258888899807
1451,Hercules High,07617960730598,063255008691,N,94547-1554,37.999740,-122.25197
1452,De Anza High,07617960732164,063255005018,N,94803-2599,37.967737,-122.28509
1453,El Cerrito High,07617960732941,063255005022,N,94530-3299,37.906601,-122.29484
1455,Greenwood Academy,07617960733253,063255005031,N,94801-3533,37.932486,-122.36155
1457,John F. Kennedy High,07617960733659,063255005037,N,94804-3399,37.925364,-122.32931
1458,Pinole Valley High,07617960735316,063255005052,N,94564-1499,37.990205,-122.28511
1459,Richmond High,07617960735902,063255005055,N,94804-1091,37.951989,-122.34739
1533,Dougherty Valley High,07618040113118,063513011990,N,94582-2901,37.767646,-121.90229
1539,California High,07618040730051,063513005943,N,94583-2942,37.747296,-121.94758
1540,Venture (Alternative),07618040730218,063513008976,N,94582-2901,37.767191,-121.90383
1544,Monte Vista High,07618040734368,063513005952,N,94526-1129,37.844787,-121.98231
1545,San Ramon Valley High,07618040736504,063513005957,N,94526-2404,37.826715,-122.00532
1546,Del Amigo High (Continuation),07618040736819,063513005946,N,94526-2399,37.826927,-122.01086
