,School,CDSCode,NCESCode,Magnet,Zip,Latitude,Longitude
9068,Valley Vista High,30665483038551,061806002235,N,92708-4603,33.708817,-117.96150
9072,Laguna Beach High,30665553033206,062037002454,N,92651-2340,33.542036,-117.77795
9100,Early College High,30665970111666,062724011702,N,92626-3636,33.680624,-117.92783
9102,Monte Vista High/Cloud Campus,30665973030186,062724008919,N,92627-1495,33.653367,-117.89021
9103,Orange Coast Middle College High,30665973030673,062724008243,No Data,92628-5005,33.673452,-117.90781
9105,Corona del Mar High,30665973031697,062724004109,N,92660-4530,33.635472,-117.87623
9106,Costa Mesa High,30665973031853,062724004110,N,92626-5537,33.670975,-117.90764
9107,Estancia High,30665973032000,062724004114,N,92627-3305,33.659962,-117.93377
9108,Back Bay High,30665973034907,062724004122,N,92627-1495,33.653297,-117.89004
9109,Newport Harbor High,30665973035045,062724004124,N,92663-5412,33.623857,-117.91321
9178,OUSD Community Day,30666210114769,062865012123,N,92869-3609,33.786145,-117.82713
9179,OUSD Home Sch,30666210118174,062865012382,N,92869-3609,33.786145,-117.82713
9181,Canyon High,30666213030046,062865004421,N,92807-3945,33.847914,-117.79000
9184,California Charter Academy of Orange County,30666213030731,062865008545,No Data,92392-5848,No Data,No Data
9185,El Modena High,30666213031952,062865004425,N,92869-3599,33.791417,-117.81251
9186,Orange High,30666213035409,062865004441,N,92867-6824,33.796223,-117.84872
9187,Richland Continuation High,30666213035748,062865004448,N,92867-6611,33.797443,-117.85519
9188,Villa Park High,30666213038098,062865004456,N,92861-4148,33.817759,-117.81777
9207,Canyon Hills,30666216029920,062865004422,N,92807-3945,33.847598,-117.79000
9236,Yorba Linda High,30666470119404,063066012429,Y,92886-8417,33.899211,-117.78732
9237,Esperanza High,30666473030053,063066004758,Y,92807-1218,33.868186,-117.80429
9240,Buena Vista Virtual Academy,30666473030483,063066006103,N,92886-3398,33.888925,-117.82472
9243,El Dorado High,30666473031929,063066004757,Y,92870-3030,33.892000,-117.85621
9244,El Camino Real Continuation High,30666473031945,063066004756,N,92870-5302,33.868222,-117.83811
9245,Valencia High,30666473038023,063066004773,Y,92870-4844,33.875951,-117.86928
9266,George Key,30666476089478,063066004760,N,92870-1635,33.903819,-117.85239
9272,Parkview,30666476119556,063066008754,N,92870-1930,33.901282,-117.86384
9277,Nova Academy Early College High,30666700106567,063531010989,N,92701-4580,33.747652,-117.87308
9278,Segerstrom High,30666700108365,063531010990,N,92704-7168,33.700102,-117.89828
9281,Hector G. Godinez,30666700114736,063531012133,N,92704-3904,33.723465,-117.90782
9285,Advanced Learning Academy,30666700135897,063531014192,N,92701-5928,33.795093,-117.85013
9288,Cesar E. Chavez High,30666703030475,063531004767,N,92707-3244,33.718531,-117.86659
9289,Century High,30666703030491,063531009633,N,92705-4408,33.730209,-117.85036
9291,Middle College High,30666703030608,063531007197,N,92706-3398,33.759971,-117.88833
9292,Albor Charter,30666703030780,063531010571,No Data,92701,No Data,No Data
9293,Lorin Griset Academy,30666703034998,063531006001,N,92704-2902,33.734469,-117.89444
9294,Saddleback High,30666703035821,063531006004,N,92707-3935,33.709117,-117.87677
9296,Santa Ana High,30666703036357,063531006005,N,92701-5559,33.744416,-117.87467
9297,Valley High,30666703036456,063531006011,N,92704-4005,33.723716,-117.90130
9346,REACH Academy,30666706115133,063531007593,N,92703-3603,33.747472,-117.88864
9403,El Toro High,30736353030061,063386005296,Y,92630-4203,33.635823,-117.68933
9404,Silverado High,30736353030079,063386005315,N,92691-3118,33.621377,-117.68326
9407,Laguna Hills High,30736353030244,063386005303,Y,92653-5395,33.594318,-117.70108
9408,Trabuco Hills High,30736353030392,063386008957,Y,92691-1027,33.654460,-117.65134
9409,SVUSD Virtual Academy (Alternative),30736353030509,063386007199,N,92691-3118,33.610096,-117.67585
9410,Mission Viejo High,30736353034956,063386005307,Y,92691-5326,33.599393,-117.67182
9426,Esperanza Education Center,30736356089510,063386005297,N,92691-5310,33.596999,-117.66747
9443,Arnold O. Beckman High,30736430102871,064015010994,Y,92602-1347,33.718710,-117.78076
9449,Tustin Connect,30736433030590,064015007201,N,92780-4629,33.739980,-117.81609
9450,Foothill High,30736433032109,064015006638,N,92705-2236,33.765927,-117.79929
9451,Hillview High (Continuation),30736433032919,064015006641,N,92780-4629,33.734658,-117.80975
9453,Tustin High,30736433037553,064015006647,N,92780-4660,33.735057,-117.81658
9481,Irvine Adult Transition Programs,30736500116046,068450012151,N,92604-4736,33.681160,-117.80634
9488,Portola High,30736500133405,068450013995,N,92618-0833,33.683947,-117.79469
9494,Creekside High,30736503030129,068450007063,N,92606-8272,33.687768,-117.81716
9495,Irvine High,30736503030152,068450007059,N,92604-2239,33.701535,-117.78289
9497,Woodbridge High,30736503030285,068450007376,N,92604-4726,33.677880,-117.80572
9499,Alternative Education-San Joaquin High,30736503030467,068450009467,N,92606-8272,33.687768,-117.81716
9500,Northwood High,30736503030657,068450008251,N,92620-2200,33.729281,-117.75127
9502,University High,30736503035102,068450007067,N,92612-3298,33.650650,-117.82212
9537,Laurel High (Continuation),30739243030343,062259007748,N,90720-2264,33.812009,-118.06996
9538,Los Alamitos High,30739243033917,062259007304,N,90720-2414,33.810366,-118.06868
9557,Magnolia Science Academy Santa Ana,30768930130765,No Data12419,N,92703-4102,33.744677,-117.90799
9559,Sierra Vista,31103140113399,069102511859,N,95746-6162,38.751458,-121.20404
9561,CORE Placer Charter,31103140119214,069102512392,N,95713-9703,39.090228,-120.95309
9562,Placer County Pathways Charter,31103140126904,069102513072,N,95603-3720,38.906555,-121.08139
9563,Adolescent Day Treatment at Dewitt,31103143130093,069102508178,No Data,95603-2603,38.939875327241985,-121.10424021543663
9564,Placer County Court Schools,31103143130101,069102509237,N,95603-3720,38.906665,-121.08235
9566,Placer County Community Schools,31103143130259,069102510573,N,95603-3720,38.906665,-121.08235
9569,Placer County Special Education,31103146069322,069102509030,N,95603-3720,38.906665,-121.08235
9631,Squaw Valley Preparatory,31668520127902,062712013495,N,96146,39.198800,-120.23954
9633,California Pacific Charter Schools-Newcastle (CalPac-Newcastle),31668520128751,062712013689,No Data,92660,33.659663,-117.86665
9645,Foresthill High,31668940102293,063075011002,N,95631-9229,39.015679,-120.83625
9646,Maidu Virtual Charter Academy,31668940138081,063075014310,N,95631-9229,39.017483,-120.83441
9648,Maidu High Independent Study,31668943130135,063075010269,N,95602-9350,38.951283,-121.10754
9649,Confluence Continuation High,31668943131687,063075004780,N,96361-9229,39.017483,-120.83441
9650,Colfax High,31668943131851,063075004781,N,95713-9556,39.108820,-120.96374
9651,Del Oro High,31668943132453,063075004782,N,95650-9502,38.831601,-121.18491
9652,Placer High,31668943135704,063075004784,N,95603-5115,38.895954,-121.07051
9684,Antelope High,31669280116459,063363012310,N,95843-6037,38.710728,-121.35597
9685,John Adams Academy - Roseville,31669280121418,063363012569,N,95678-5423,38.754144,-121.26599
9687,West Park High,31669280139840,063363014463,N,95747,38.752124,-121.28800
9690,Independence High (Alternative),31669283130119,063363010036,N,95678-1310,38.759025,-121.27400
9691,Woodcreek High,31669283130176,063363003513,N,95747-6074,38.761015,-121.33250
9692,Granite Bay High,31669283130184,063363006168,Y,95746-7194,38.733581,-121.21461
9693,Adelante High (Continuation),31669283130309,063363005189,N,95678-1849,38.752954,-121.28002
9694,Oakmont High,31669283135308,063363005190,Y,95661-5520,38.729519,-121.26118
9696,Roseville High,31669283136504,063363005191,N,95678-1706,38.756363,-121.27684
9701,North Tahoe High,31669443130010,063877006514,N,96145-5099,39.195041,-120.12049
9703,Sierra High (Continuation),31669443130077,063877006517,N,96161-4953,39.324816,-120.21109
9704,Cold Stream Alternative,31669443130192,063877006175,N,96161-4953,39.325858,-120.21671
9705,Prosser Creek Charter,31669443130226,063877007600,No Data,96161,39.36352987385839,-120.12604398069294
9706,Tahoe Truckee High,31669443138500,063877006520,N,96161-4954,39.324789,-120.21621
9720,Partnerships for Student-Centered Learning,31669510122507,064214012754,N,95648-1757,38.897444,-121.33550
9722,ATLAS Learning Academy,31669510139246,064214014396,N,95648-1757,38.896899,-121.29758
9726,Phoenix High (Continuation),31669513130036,064214006898,N,95648-1757,38.896859,-121.29670
9727,Lincoln North High (Cont.),31669513130143,064214000803,No Data,95648-1614,38.8944662,-121.2890216
9728,Horizon Charter,31669513130168,064214003557,N,95648-1757,38.897444,-121.33550
9729,Lincoln High,31669513134657,064214006897,N,95648-1614,38.895689,-121.29668
9742,Whitney High,31750850108084,060001311010,N,95765-5469,38.834335,-121.28900
9745,Western Sierra Collegiate Academy,31750850119487,060001312390,N,95765-3713,38.811611,-121.29815
9747,Rocklin Independent Charter Academy,31750850128561,060001313722,N,95765-4992,38.815769,-121.25442
9750,Rocklin High,31750853130150,060001302405,N,95765-4988,38.814645,-121.25386
9751,Victory High,31750853130200,060001306176,N,95765-4992,38.815534,-121.25523
9752,Rocklin Alternative Education Center,31750853130218,060001314465,N,95765-4992,38.815534,-121.25523
9767,Plumas County Community,32103220100057,069110210576,N,95971-9451,39.936108,-120.94384
9776,Sierra High (Cont.),32669693230026,063117004828,No Data,95971-6009,39.93712151414427,-120.94406995050078
9777,Almanor High (Continuation),32669693230034,063117007824,N,96020-0797,40.302553,-121.23109
9778,Beckwourth (Jim) High (Continuation),32669693230042,063117007825,N,96122-9543,39.801540,-120.46726
9779,Indian Valley High (Cont.),32669693230059,063117008179,No Data,95947-0845,40.14122224258046,-120.9494255576806
9781,Plumas Charter,32669693230083,063117007601,N,95971-9678,39.937730,-120.93891
9782,Chester Junior/Senior High,32669693232006,063117004819,N,96020-0797,40.303191,-121.22733
9783,Greenville Junior/Senior High,32669693233509,063117004821,N,95947-9630,40.139597,-120.94576
9784,Portola Junior/Senior High,32669693235603,063117004825,N,96122-9543,39.801726,-120.46677
9785,Quincy Junior/Senior High,32669693236007,063117004827,N,95971-9112,39.963784,-120.89885
9803,River Springs Charter,33103300110833,069102611707,N,92590-2698,33.511615,-117.15768
9805,Leadership Military Academy,33103300125237,069102612986,N,92553-4302,33.921220,-117.22635
9807,Come Back Kids,33103300128397,069102613694,N,92501-3505,33.978895,-117.38041
9808,Gateway College and Career Academy,33103300128777,069102613730,N,92506-1201,33.971569,-117.38467
9809,Leadership Military Academy - Indio,33103300134320,069102614007,N,92201-3392,33.726206,-116.20141
9813,Pivot Charter School Riverside,33103300137836,069102614240,N,92878-5839,33.890371,-117.56465
9815,Excelsior Charter School Corona-Norco,33103300137869,069102614354,N,92879-2525,33.865167,-117.55489
9817,JCS - Pine Hills,33103300138602,069102614346,N,92592-2319,33.481208,-117.13814
9820,Riverside County Juvenile Court,33103303330123,069102607567,N,92502-0868,33.978494,-117.38054
9827,Riverside County Opportunity,33103303330404,069102609238,No Data,92502-0868,33.978494,-117.38054
9829,Riverside County Community,33103303331055,069102610577,N,92501-3505,33.978494,-117.38054
9832,Riverside County Special Education,33103306069207,069102609031,N,92502-0868,33.978494,-117.38054
9872,California School for the Deaf-Riverside,33316253330834,060000710348,N,92506-4498,33.943666,-117.37881
9877,Alvord Alternative Education Center,33669770115485,060243012061,No Data,92505-1308,33.936001,-117.48134
9878,Hillcrest High,33669770125732,060243013184,N,92503-5172,33.890715,-117.48472
9879,Alvord Alternative Continuation High,33669770126896,060243013134,N,92505-1308,33.935586,-117.48133
9882,Alvord Alternative Continuation High,33669770135061,060243013134,N,92505-1308,33.935586,-117.48133
9884,La Sierra High,33669773330008,060243000134,N,92505-2938,33.911820,-117.48289
9889,Norte Vista High,33669773334299,060243000137,N,92503-1102,33.950014,-117.47269
9890,Alvord Continuation High,33669773337128,060243000128,N,92503-4925,33.892147,-117.48875
9909,Whitewater Junior/Senior High,33669850102418,060384011242,No Data,92282,No Data,No Data
9916,Banning High,33669853330214,060384000347,N,92220-4922,33.918047,-116.87817
9917,New Horizon High,33669853330222,060384000352,N,92220-4378,33.932607,-116.88889
9918,Banning Independent Study,33669853330974,060384008555,N,92220-5529,33.932573,-116.88878
9934,21st Century Learning Institute,33669930129882,060429013779,N,92223-1927,33.935297,-116.96928
9939,El Paseo Alternative Learning Center,33669933330461,060429000389,No Data,92223-2332,34.0260825,-118.2148353
9940,Beaumont Senior High,33669933330479,060429000386,N,92223-4484,33.968717,-116.97914
9941,Laura May Stewart Performance,33669933330826,060429007206,No Data,92223,33.968654326850974,-116.97967228539702
9942,Glen View High,33669933330842,060429008261,N,92223-1927,33.935297,-116.96928
9961,Orange Grove High,33670330110106,060985011708,N,92882-1937,33.876592,-117.57772
9962,Eleanor Roosevelt High,33670330110627,060985011709,N,92880-9750,33.954072,-117.56779
9965,John F. Kennedy High,33670330110759,060985011712,N,92860-2643,33.915545,-117.56735
9971,Academy of Innovation,33670330135574,060985014184,N,92860-2643,33.917183,-117.56425
9973,Corona-Norco Alternative,33670333330131,060985001047,N,92879-3329,33.853630,-117.56845
9974,Centennial High,33670333330446,060985009532,N,92881-3228,33.855938,-117.54473
9975,Lee V. Pollard High,33670333330586,060985000853,N,92879-3329,33.853700,-117.56842
9977,Corona Vista High,33670333330602,060985000905,N,92882-3901,33.873195,-117.58529
9978,Norco Vista High,33670333330610,060985000912,N,92860,33.91190533359699,-117.54819486162987
9979,Santiago High,33670333330701,060985004959,N,92881-0996,33.833999,-117.54604
9980,Phoenix High,33670333330941,060985008557,No Data,92880,No Data,No Data
9981,California Hope Charter Academy,33670333330966,060985008558,No Data,92881-4223,33.831758,-117.526707
9982,Corona-Norco Adult,33670333331501,060985013588,No Data,92882-1937,33.879042,-117.57773
9983,Corona High,33670333331600,060985001049,N,92882-3901,33.873155,-117.58525
9985,Norco High,33670333334232,060985001061,N,92860-2726,33.911862,-117.54821
10005,Victress Bower School for Exceptional Students,33670336068753,060985001068,N,92860-2864,33.900466,-117.57024
10030,Summit High (Continuation),33670580114504,061111012080,N,92253-8170,33.732200,-116.30060
10031,Shadow Hills High,33670580118885,061111012319,N,92201-9482,33.764870,-116.27021
10036,Palm Desert High,33670583330388,061111008819,N,92260-5639,33.733542,-116.35769
10037,La Quinta High,33670583330669,061111003582,N,92253-4244,33.713506,-116.28052
10038,Horizon,33670583330909,061111008560,N,92253-8170,33.732140,-116.30143
10040,Amistad High (Continuation),33670583331113,061111007694,N,92201-3325,33.725849,-116.21201
10041,Indio High,33670583333192,061111001226,Y,92201-3911,33.714794,-116.23734
10087,Hamilton,33670820106716,061692011020,N,92539-9289,33.569882,-116.65862
10090,Tahquitz High,33670820113159,061692012024,N,92545-6224,33.767301,-117.01759
10091,Hemet Academy for Applied Academics and Technology,33670820115162,061692011869,No Data,92544,33.738082,-116.93682
10093,Western Center Academy,33670820120675,061692012464,N,92543-9706,33.706832,-116.99217
10094,College Prep High,33670820128363,061692013707,N,92544-6302,33.738082,-116.93682
10095,ASPIRE Community Day,33670820132167,061692013907,N,92543-7293,33.731745,-116.95854
10098,Alessandro High,33670823330065,061692002149,N,92543-3052,33.750878,-116.96393
10100,Hamilton K-12,33670823330453,061692009377,No Data,92539,No Data,No Data
10101,Academy of Innovation,33670823330503,061692009555,N,92543-7293,33.731745,-116.95854
10102,West Valley High,33670823330537,061692009852,N,92545-9257,33.719703,-117.00962
10103,Hemet Educational Learning Center,33670823330768,061692006246,No Data,92544,33.74823415089931,-116.97481551405426
10105,Hemet Adult Education,33670823332616,061692013336,No Data,92543-3052,33.750751,-116.96347
10106,Hemet High,33670823332673,061692002154,N,92544-7518,33.729472,-116.93247
10126,Patriot High,33670900114157,061926012095,N,92509-3455,34.007446,-117.44802
10128,Rivercrest Preparatory,33670900127720,061926013334,Y,91752-1800,34.001207,-117.52147
10130,Jurupa Valley High,33670903330412,061926009556,N,91752-1800,34.002235,-117.51528
10131,Rio Vista High,33670903330545,061926000963,N,92509-1301,34.019065,-117.43296
10132,Steps Community Day,33670903330784,061926007211,N,92509-5853,34.001530,-117.42197
10133,Nueva Vista Continuation High,33670903334687,061926002315,N,92509-1301,34.016482,-117.42908
10134,Rubidoux High,33670903337136,061926002318,N,92509-7251,33.998584,-117.42740
10159,Santa Rosa Academy,33671160109843,062454011023,N,92584-8376,33.677653,-117.17632
10177,Alessandro,33671240105940,062580011025,N,92553-3201,33.928092,-117.25568
10180,Moreno Valley Online Academy,33671240128868,062580013683,N,92553-3945,33.910034,-117.23464
10182,Canyon Springs High,33671243330396,062580008906,N,92557-3801,33.961193,-117.26145
10183,Valley View High,33671243330438,062580009404,N,92555-4504,33.929944,-117.19161
10185,Bayside Community Day,33671243330800,062580007213,N,92553-3945,33.910034,-117.23495
10187,Vista del Lago High,33671243331071,062580010583,N,92551-1460,33.900967,-117.20872
10188,Moreno Valley Adult Education,33671243333754,062580013294,No Data,92553-3745,33.927775,-117.23370
10189,March Mountain High,33671243333762,062580003868,N,92553-3745,33.928130,-117.23411
10190,Moreno Valley High,33671243333770,062580003869,N,92553-3437,33.924581,-117.25560
10231,Mosaica Online Academy of Southern California,33671570120279,062778012445,No Data,92590,33.501427,-117.16646
10232,Pivot Charter School Riverside II,33671570125245,062778013025,N,92567-9140,33.820085,-117.13078
10235,Nuview Bridge Early College High,33671573331014,062778010350,N,92567-9361,33.830165,-117.12942
10247,Rancho Mirage High,33671730127316,062955013149,N,92270-2702,33.821677,-116.43330
10248,Desert Learning Academy,33671730133090,062955013957,N,92264-7917,33.815949,-116.52120
10252,Cathedral City High,33671733330578,062955010279,N,92234-4713,33.801558,-116.45309
10253,Las Brisas High (Cont.),33671733330628,062955001013,No Data,92240-3601,No Data,No Data
10254,Desert Hot Springs High,33671733330818,062955008267,N,92240-3000,33.961546,-116.51344
10256,Mt. San Jacinto High,33671733331121,062955008931,N,92234-5159,33.824614,-116.47552
10257,Palm Springs High,33671733335130,062955004569,N,92262-7217,33.819499,-116.51796
10277,Palo Verde Valley Community Day,33671810115188,062964012092,N,92225-1118,33.617527,-114.60478
10279,Scale Leadership Academy - East,33671810138610,062964014356,N,91710-9509,33.984276,-117.68964
10280,Twin Palms Continuation,33671813331139,062964004603,N,92225-1118,33.617435,-114.60585
10281,Palo Verde High,33671813335759,062964004602,N,92225-1136,33.621078,-114.60582
10302,California Military Institute,33672070101170,063021011184,N,92570-1958,33.794308,-117.23474
10303,Heritage High,33672070113191,063021011848,N,92585-3230,33.743336,-117.13666
10304,Scholar Plus Online Learning,33672070134981,063021014047,N,92570-4544,33.772349,-117.23266
10305,Pathways for Adult Life Skills,33672070137620,063021014362,N,92570-2464,33.779315,-117.21807
10308,Perris Lake High (Continuation),33672073330172,063021004713,N,92570-4544,33.772070,-117.24515
10309,Choice 2000 On-Line,33672073330693,063021003605,No Data,92570,33.792564,-117.23476
10310,Paloma Valley High,33672073330727,063021004992,N,92584-9368,33.665117,-117.18878
10311,The Academy Community Day,33672073330776,063021006249,N,92570-2464,33.779279,-117.22003
10313,Perris High,33672073335973,063021004712,N,92571-2910,33.801127,-117.22389
10319,Gateway to College Early College High,33672150106526,063315011030,No Data,92506-1299,33.971325,-117.38471
10322,Riverside Virtual,33672150115709,063315012176,N,92501-3810,33.974115,-117.37454
10327,Riverside STEM Academy,33672150131359,063315013103,N,92507-4864,33.968815,-117.31321
10328,Encore High School for the Arts - Riverside,33672150132498,063315013908,N,92501-2864,33.981601,-117.37432
10329,Arlington High,33672153330024,063315005131,N,92503-5732,33.912916,-117.42955
10331,Summit View Independent Study,33672153330362,063315008183,N,92506-4413,33.940630,-117.37898
10332,Opportunity Program,33672153330511,063315010029,N,92506-4424,33.940630,-117.37898
10333,Raincross High (Continuation),33672153330677,063315003613,N,92506-4424,33.940630,-117.37898
10334,Martin Luther King Jr. High,33672153330859,063315008268,N,92508-9459,33.885469,-117.33137
10335,Creative Options for Positive Education (COPE),33672153330867,063315008269,No Data,92506,33.94080865,-117.37960605
10336,John W. North High,33672153334406,063315005154,N,92507-3404,33.982968,-117.34610
10337,Polytechnic High,33672153336237,063315005156,N,92506-3362,33.952639,-117.37019
10338,Ramona High,33672153336492,063315005157,Y,92504-3627,33.938785,-117.41435
10340,Abraham Lincoln Continuation,33672153336955,063315005148,N,92507-5009,33.971135,-117.36598
10365,Sunshine Special Education,33672156032767,063315005159,N,92503-3217,33.927482,-117.45000
10397,San Jacinto Adult,33672493330313,063444013357,No Data,92582-2552,33.796162,-116.97379
10398,Mountain Heights Academy,33672493331006,063444011034,N,92582-2552,33.796201,-116.97386
10399,Mountain View High,33672493337649,063444005692,N,92582-2576,33.796201,-116.97386
10400,San Jacinto High,33672493337656,063444005694,N,92583-2615,33.794073,-116.96513
10406,San Jacinto Valley Academy,33672496114748,063444007219,N,92583-2729,33.793862,-116.95894
10425,Desert Mirage High,33736760100255,060907011175,N,92274,33.569349,-116.16154
10430,NOVA Academy - Coachella,33736760121673,060907012684,N,92236-7319,33.663070,-116.18966
10431,La Familia Continuation High,33736763330032,060907000923,N,92274,33.638716,-116.14222
10433,West Shores High,33736763330354,060907007685,N,92275,33.305383,-115.95030
10434,Coachella Valley High,33736763330990,060907000920,N,92274-9367,33.642091,-116.20208
10454,Lakeside High,33751760107920,060002711036,N,92530-7802,33.668534,-117.38110
10458,Keith McCarthy Academy,33751760116343,060002712094,N,92530-2711,33.682028,-117.33579
10462,Southern California Online Academy,33751760124859,060002712914,N,92530-2809,33.682028,-117.33579
10464,Ortega High,33751763330115,060002709488,N,92530-1230,33.680336,-117.33856
10465,Temescal Canyon High,33751763330487,060002710280,N,92532-1912,33.702980,-117.34678
10466,Valley Adult,33751763330735,060002713658,No Data,92530,33.681818,-117.33620
10467,Tri-Valley Community Day,33751763330750,060002706254,No Data,92530,33.682219,-117.33607
10468,Gordon Kiefer Independent Study,33751763330792,060002706274,No Data,92530,33.682189,-117.33603
10469,Elsinore High,33751763332350,060002709489,N,92595-9181,33.623318,-117.27971
10490,Great Oak High,33751920105734,060002811038,N,92592-1283,33.452430,-117.09213
10500,Temecula Valley High,33751923330370,060002809499,N,92592-3516,33.503645,-117.11659
10501,Rancho Vista High,33751923330495,060002809500,N,92592-6200,33.488006,-117.10490
10502,Susan H. Nelson,33751923330636,060002810589,N,92592-2772,33.488006,-117.10490
10503,Temecula Valley Adult,33751923330719,060002812584,No Data,92592,33.490548,-117.10380
10504,Chaparral High,33751923330743,060002807222,N,92591-7348,33.539603,-117.14648
10505,Temecula Preparatory,33751923330917,060002808564,N,92596-8450,33.604240,-117.08570
10526,Vista Murrieta High,33752000100420,060002911249,N,92563-2465,33.598202,-117.17336
10527,Murrieta Canyon Academy,33752000102079,060002911241,N,92563-9461,33.559205,-117.23191
10529,Murrieta Valley Adult Education,33752000113670,060002913523,No Data,92562,33.560232,-117.23251
10532,Murrieta Mesa High,33752000118794,060002912289,N,92562-9018,33.563366,-117.20106
10535,Murrieta Valley High,33752003330529,060002909685,N,92562-6235,33.567041,-117.22885
10536,Creekside High,33752003330644,060002902467,N,92562-9461,33.559205,-117.23191
10553,Citrus Hill High,33752420109108,069113511047,N,92570-9486,33.856351,-117.33125
10561,Val Verde Academy,33752420123190,069113512749,N,92551-1120,33.884751,-117.22370
10562,Orange Vista High,33752420133306,069113513992,N,92571-3789,33.815784,-117.23884
10564,Rancho Verde High,33752423330552,069113510283,N,92551-6300,33.860501,-117.20854
10565,Val Verde High,33752423330560,069113510284,N,92571-3103,33.839200,-117.24500
10567,Via High,33752423331063,069113510591,No Data,92551,33.86113565,-117.20708006955923
10580,Baypoint Preparatory Academy,33769430132522,No Data13941,N,92544-8701,33.743482,-116.95511
10582,Carson Creek Jr./Sr. High,34103480106211,069102711050,No Data,95683,38.551750,-121.13559
10583,Palmiter Special Education,34103480106229,069102711051,N,95825-0118,38.602667,-121.41990
10584,Elinor Lincoln Hickey Jr./Sr. High,34103480106237,069102711052,N,95825-0118,38.602667,-121.41990
10585,North Area Community,34103480106245,069102711053,N,95838-2907,38.640065,-121.41985
10586,Esperanza Jr./Sr. High,34103480106260,069102711054,No Data,95827,38.54837660409667,-121.337722972854
10587,El Centro Jr./Sr. High,34103480106278,069102711055,N,95827,38.545077,-121.34164
10588,Morgan Jr./Sr. High,34103480106286,069102711056,N,95827,38.549531,-121.33860
10589,Foundations Academy,34103480106294,069102711057,N,95655-4116,38.566581,-121.29908
10591,Northern California Poly Technical Academy,34103480106773,069102711059,No Data,95828-0918,38.520205,-121.396742
10593,Nathaniel S. Colley Sr. High,34103480118745,069102712343,N,95828-3711,38.481641,-121.40342
10595,Fortune,34103480136275,069102714070,N,95823-2395,38.502296,-121.42945
10603,Sacramento Juvenile Court Schools,34103483430428,069102709239,No Data,95827-3302,38.56198605225525,-121.33514450847332
10605,McClellan Jr./Sr. Community Day,34103483430774,069102708566,No Data,95843,No Data,No Data
10606,Mather Community Day,34103483430782,069102708567,No Data,95655-4002,38.5696029,-121.2909964
10607,Palmiter (Leo A.) Community Day,34103483430790,069102708568,No Data,95825-0118,38.60275034285715,-121.41985217142857
10608,South Area Community Day,34103483430808,069102708569,No Data,95823-1899,No Data,No Data
10609,Sacramento County Community,34103483430857,069102710592,No Data,95825,38.60275034285715,-121.41985217142857
10615,Special Education,34103486069520,069102707998,No Data,95855,38.5673859,-121.2745647
10623,Pine Grove Youth Conservation Camp,34322760330027,060142207486,N,95665,38.413972,-120.64385
10624,Nagazyna (Madelyn) H.S.,34322763430055,060142207607,No Data,95826,38.54663306532664,-121.41542037688443
10626,Johanna Boss High,34322763931250,060142207737,N,95213-9001,37.891183,-121.19782
10627,N.A. Chaderjian High,34322763990025,060142207739,N,95213-9014,37.891183,-121.19782
10628,Mary B. Perry High,34322765637780,060142207920,N,93010,34.243546,-119.10636
10640,Monterey Trail High,34673140105916,061233011061,N,95624-3467,38.440513,-121.39196
10646,Pleasant Grove High,34673140108753,061233011067,N,95624-1440,38.423694,-121.34217
10651,Cosumnes Oaks High,34673140116897,061233012274,N,95757,38.399290,-121.39747
10655,SAVA - Sacramento Academic and Vocational Academy - EGUSD,34673140137281,061233014368,N,95758-6473,38.426659,-121.46097
10659,Valley High,34673143430170,061233001414,N,95823-5637,38.455542,-121.43024
10661,Calvine High,34673143430311,061233007701,N,95828-6178,38.454415,-121.37833
10662,Rio Cazadero High (Continuation),34673143430329,061233007702,N,95823-4897,38.469297,-121.43304
10663,Las Flores High (Alternative),34673143430352,061233007700,N,95823-4607,38.489047,-121.43352
10664,Florin High,34673143430477,061233009534,N,95828-5404,38.468059,-121.39031
10667,Laguna Creek High,34673143430592,061233003662,N,95758-5859,38.428684,-121.42714
10668,Sheldon High,34673143430618,061233007226,N,95829-6085,38.455400,-121.34863
10669,Elk Grove Community Day,34673143430725,061233008273,No Data,95624,No Data,No Data
10670,Capital Community Day,34673143430733,061233011728,No Data,95828,38.4816358,-121.4021763
10672,Franklin High,34673143430873,061233010593,N,95757-5928,38.393817,-121.42881
10673,Daylor (William) High (Continuation),34673143432002,061233001395,N,95823-3226,38.488841,-121.43240
10674,Elk Grove High,34673143432572,061233001398,N,95624-2549,38.401687,-121.37151
10676,Jessie Baker,34673146032999,061233007698,N,95624-2231,38.407333,-121.37342
10705,Elk Grove Charter,34673146112254,061233008275,N,95757-4309,38.391350,-121.43717
10721,Alpha Charter,34673220127860,061260013554,Y,95626-9580,38.731208,-121.46668
10728,Vista del Lago High,34673300113571,061389011932,N,95630-8335,38.655755,-121.10345
10736,Walnutwood High (Independent Study),34673303430501,061389009821,N,95670-5102,38.607402,-121.27975
10737,Prospect Community Day,34673303430667,061389007609,N,95670-6104,38.601301,-121.27554
10739,Folsom Lake High,34673303430709,061389008280,N,95630-7801,38.648972,-121.15521
10740,Cordova High,34673303431533,061389001568,Y,95670-2039,38.599656,-121.30919
10744,Folsom High,34673303433216,061389001570,N,95630-3053,38.649490,-121.15518
10745,Kinney High (Continuation),34673303434792,061389001573,N,95670-6104,38.602310,-121.27574
10751,Kitty Hawk,34673306033195,061389008574,N,95655-3025,38.545738,-121.28664
