CDSCODE,C,D,S,SARCYear,AVGEN_Y1,NCSEN_Y1,NCMEN_Y1,NCLEN_Y1,AVGMA_Y1,NCSMA_Y1,NCMMA_Y1,NCLMA_Y1,AVGSC_Y1,NCSSC_Y1,NCMSC_Y1,NCLSC_Y1,AVGSS_Y1,NCSSS_Y1,NCMSS_Y1,NCLSS_Y1,AVGEN_Y2,NCSEN_Y2,NCMEN_Y2,NCLEN_Y2,AVGMA_Y2,NCSMA_Y2,NCMMA_Y2,NCLMA_Y2,AVGSC_Y2,NCSSC_Y2,NCMSC_Y2,NCLSC_Y2,AVGSS_Y2,NCSSS_Y2,NCMSS_Y2,NCLSS_Y2,AVGEN_Y3,NCSEN_Y3,NCMEN_Y3,NCLEN_Y3,AVGMA_Y3,NCSMA_Y3,NCMMA_Y3,NCLMA_Y3,AVGSC_Y3,NCSSC_Y3,NCMSC_Y3,NCLSC_Y3,AVGSS_Y3,NCSSS_Y3,NCMSS_Y3,NCLSS_Y3
54722495430145,54,72249,5430145,2020-21,8,6,,,12,4,,,15,2,,,12,2,,,8,6,,,10,3,,,12,2,,,14,2,,,6,5,,,8,4,,,8,4,,,7,2,,
15751686009468,15,75168,6009468,2020-21,18,2,4,,18,3,3,,22,1,4,,22,1,4,,21,1,4,,12,7,2,,25,,4,,25,,4,,18,4,1,,13,6,1,,22,3,1,,22,3,1,
33751923330743,33,75192,3330743,2020-21,32,10,18,66,31,9,22,57,33,4,14,57,33,6,14,54,31,13,14,65,31,11,20,59,32,8,10,58,33,6,10,56,31,15,11,64,32,12,10,62,34,4,7,64,34,6,9,54
19647331932920,19,64733,1932920,2020-21,23,42,15,32,22,36,16,26,26,19,13,25,25,24,15,23,21,46,25,20,22,35,26,17,23,22,19,16,24,23,18,20,22,44,29,20,24,33,17,26,23,25,22,15,26,22,15,18
33670820116962,33,67082,0116962,2020-21,25,14,13,13,22,9,29,,25,8,17,8,30,4,12,12,23,18,11,14,36,5,6,20,34,6,9,16,32,6,,22,23,23,4,15,22,15,9,8,27,7,7,12,32,4,2,16
35752596035117,35,75259,6035117,2020-21,,,,,,,,,,,,,,,,,,,,,26,1,2,,26,1,2,,,,,,,,,,21,3,1,,21,3,1,,,,,
33672150115709,33,67215,0115709,2020-21,13,7,1,1,9,11,2,,11,12,,1,14,15,3,1,11,9,,,8,10,1,,14,9,1,2,11,15,1,1,3,1,,,,,,,16,2,,1,16,5,2,
12629766008098,12,62976,6008098,2020-21,27,,4,,27,,4,,27,,4,,27,,4,,28,,4,,28,,4,,28,,4,,28,,4,,30,,4,,30,,4,,30,,4,,30,,4,
37683386039671,37,68338,6039671,2020-21,16,8,2,1,24,2,3,2,24,2,4,1,17,8,1,1,28,1,4,2,33,,2,4,33,,2,4,28,1,3,3,21,4,4,,21,7,1,,21,6,2,,21,4,4,
19647336058101,19,64733,6058101,2020-21,23,13,13,7,24,11,12,10,23,5,5,3,26,5,11,6,19,22,11,2,20,19,10,6,21,8,3,3,22,7,5,3,18,17,15,,18,21,12,,18,6,7,,20,7,8,
